([0, 1, 0, 1, 0, 0, 0, 0, 0, 0], 320) 
([0, 0, 1, 0, 1, 0, 1, 1, 0, 0], 172) 
([0, 0, 0, 0, 1, 1, 1, 1, 0, 1], 61) 
([1, 1, 0, 1, 0, 0, 1, 0, 0, 1], 841) 
([0, 0, 0, 1, 0, 1, 1, 1, 1, 0], 94) 
([0, 1, 0, 1, 0, 0, 1, 1, 1, 0], 334) 
([0, 0, 1, 0, 0, 1, 0, 1, 1, 0], 150) 
([0, 0, 1, 0, 1, 0, 0, 0, 0, 0], 160) 
([1, 1, 0, 0, 0, 1, 0, 1, 0, 1], 789) 
([1, 0, 1, 0, 0, 0, 1, 1, 0, 1], 653) 
([1, 0, 1, 0, 0, 1, 0, 1, 0, 1], 661) 
([0, 1, 0, 0, 0, 1, 1, 0, 0, 1], 281) 
([0, 1, 0, 1, 0, 0, 1, 1, 0, 0], 332) 
([0, 0, 0, 1, 0, 1, 0, 0, 1, 1], 83) 
([1, 1, 0, 1, 0, 0, 1, 1, 1, 0], 846) 
([1, 0, 1, 1, 0, 0, 1, 1, 1, 0], 718) 
([0, 1, 0, 0, 0, 1, 0, 1, 1, 1], 279) 
([0, 0, 1, 0, 1, 0, 0, 0, 1, 0], 162) 
([1, 1, 0, 1, 0, 1, 0, 0, 1, 0], 850) 
([1, 1, 1, 0, 0, 0, 0, 0, 1, 1], 899) 
([1, 0, 1, 1, 0, 0, 1, 1, 1, 0], 718) 
([0, 0, 0, 1, 0, 1, 1, 0, 0, 1], 89) 
([1, 0, 1, 1, 0, 0, 1, 0, 1, 0], 714) 
([0, 1, 0, 0, 0, 1, 1, 1, 0, 0], 284) 
([1, 1, 1, 1, 0, 1, 1, 1, 1, 1], 991) 
([1, 0, 1, 0, 0, 0, 0, 0, 0, 0], 640) 
([0, 1, 0, 1, 0, 1, 0, 1, 0, 0], 340) 
([1, 0, 0, 1, 0, 1, 1, 0, 1, 1], 603) 
([0, 0, 0, 1, 1, 1, 0, 1, 1, 1], 119) 
([0, 1, 1, 0, 0, 1, 0, 1, 1, 1], 407) 
([1, 0, 1, 1, 1, 1, 0, 0, 1, 0], 754) 
([0, 0, 0, 0, 0, 0, 0, 0, 1, 0], 2) 
([1, 0, 0, 0, 1, 0, 0, 0, 1, 1], 547) 
([1, 0, 0, 1, 0, 0, 0, 1, 1, 1], 583) 
([1, 0, 0, 0, 1, 0, 1, 1, 0, 1], 557) 
([0, 0, 0, 0, 1, 0, 1, 0, 1, 1], 43) 
([1, 0, 0, 1, 1, 1, 0, 1, 0, 1], 629) 
([1, 1, 0, 0, 1, 1, 0, 0, 1, 1], 819) 
([0, 0, 1, 0, 0, 0, 0, 1, 0, 1], 133) 
([1, 1, 0, 0, 0, 1, 0, 0, 0, 0], 784) 
([0, 0, 1, 0, 1, 1, 0, 0, 0, 0], 176) 
([0, 1, 0, 1, 0, 1, 0, 1, 1, 0], 342) 
([1, 0, 0, 0, 0, 1, 0, 0, 1, 0], 530) 
([1, 1, 1, 1, 1, 1, 0, 0, 1, 1], 1011) 
([1, 1, 1, 0, 1, 0, 1, 0, 0, 0], 936) 
([1, 1, 0, 0, 0, 1, 0, 1, 1, 0], 790) 
([1, 0, 0, 1, 1, 0, 1, 0, 0, 0], 616) 
([0, 0, 1, 0, 0, 1, 1, 0, 0, 1], 153) 
([1, 1, 0, 0, 1, 1, 1, 1, 1, 1], 831) 
([0, 0, 1, 1, 0, 0, 1, 0, 0, 1], 201) 
([1, 1, 1, 0, 0, 1, 1, 1, 1, 1], 927) 
([0, 0, 1, 1, 0, 1, 0, 0, 1, 0], 210) 
([0, 0, 0, 1, 1, 0, 0, 0, 1, 1], 99) 
([0, 1, 0, 1, 0, 0, 1, 0, 1, 1], 331) 
([0, 1, 1, 1, 0, 1, 0, 1, 0, 1], 469) 
([0, 0, 0, 1, 1, 1, 1, 0, 1, 0], 122) 
([0, 1, 1, 1, 1, 0, 1, 0, 1, 1], 491) 
([0, 1, 1, 0, 1, 1, 0, 0, 0, 1], 433) 
([0, 0, 1, 1, 1, 0, 0, 0, 0, 1], 225) 
([0, 0, 0, 0, 0, 0, 1, 0, 0, 0], 8) 
([1, 1, 1, 0, 1, 0, 0, 1, 0, 0], 932) 
([1, 1, 1, 0, 0, 1, 0, 1, 0, 0], 916) 
([0, 0, 0, 1, 0, 1, 0, 0, 1, 1], 83) 
([0, 0, 0, 1, 1, 0, 0, 1, 1, 1], 103) 
([1, 1, 1, 0, 0, 0, 1, 1, 0, 1], 909) 
([0, 0, 0, 0, 0, 1, 0, 0, 0, 1], 17) 
([0, 0, 1, 0, 1, 1, 1, 1, 1, 0], 190) 
([0, 1, 1, 1, 1, 0, 0, 0, 1, 1], 483) 
([1, 0, 0, 1, 1, 0, 0, 0, 0, 0], 608) 
([1, 1, 0, 0, 1, 0, 1, 1, 0, 0], 812) 
([0, 0, 1, 0, 0, 1, 1, 0, 1, 1], 155) 
([0, 1, 1, 0, 1, 0, 0, 0, 1, 1], 419) 
([1, 0, 1, 1, 0, 1, 0, 1, 0, 1], 725) 
([0, 1, 1, 1, 1, 0, 0, 0, 0, 1], 481) 
([1, 1, 0, 1, 1, 0, 1, 0, 0, 0], 872) 
([1, 0, 0, 0, 1, 0, 0, 1, 1, 0], 550) 
([1, 1, 1, 1, 1, 0, 0, 0, 0, 0], 992) 
([1, 0, 1, 1, 1, 0, 0, 1, 0, 1], 741) 
([0, 1, 0, 1, 1, 0, 0, 0, 1, 1], 355) 
([1, 1, 0, 0, 1, 0, 1, 1, 1, 0], 814) 
([1, 0, 1, 0, 1, 0, 0, 0, 0, 0], 672) 
([1, 0, 0, 1, 1, 0, 1, 0, 1, 0], 618) 
([1, 0, 0, 1, 0, 0, 0, 0, 0, 0], 576) 
([1, 1, 0, 0, 0, 1, 1, 0, 1, 0], 794) 
([0, 0, 0, 1, 1, 0, 1, 0, 0, 0], 104) 
([0, 1, 0, 0, 1, 0, 0, 1, 1, 1], 295) 
([1, 1, 1, 1, 0, 1, 1, 0, 1, 0], 986) 
([0, 0, 0, 1, 0, 1, 0, 1, 1, 1], 87) 
([0, 0, 1, 1, 1, 1, 1, 1, 1, 0], 254) 
([0, 1, 0, 1, 1, 0, 0, 0, 1, 0], 354) 
([1, 0, 0, 0, 0, 0, 1, 0, 0, 0], 520) 
([1, 1, 1, 0, 1, 1, 0, 0, 0, 1], 945) 
([1, 1, 0, 1, 0, 0, 0, 1, 1, 1], 839) 
([1, 1, 0, 1, 1, 0, 1, 1, 1, 0], 878) 
([1, 0, 1, 0, 0, 1, 1, 1, 1, 0], 670) 
([1, 0, 0, 1, 0, 1, 0, 0, 0, 1], 593) 
([1, 1, 1, 0, 1, 0, 0, 0, 0, 0], 928) 
([0, 0, 1, 0, 0, 1, 0, 1, 0, 1], 149) 
([1, 0, 0, 1, 0, 0, 0, 0, 1, 0], 578) 
([0, 1, 0, 0, 1, 0, 0, 1, 0, 1], 293) 
([1, 1, 1, 0, 0, 1, 1, 1, 0, 0], 924) 
([0, 0, 1, 0, 1, 1, 1, 0, 1, 0], 186) 
([0, 1, 0, 0, 1, 0, 1, 0, 0, 1], 297) 
([1, 1, 1, 0, 0, 0, 1, 0, 0, 0], 904) 
